,treatment,benefits,care_options,wellness_program,seek_help,anonymity,leave,mental_health_consequence,coworkers,supervisor,mental_vs_physical,obs_consequence
941,Yes,Yes,Yes,Yes,Yes,Yes,Very difficult,Yes,Some of them,Some of them,Don't know,Yes
942,Yes,Yes,Yes,No,Don't know,Yes,Somewhat easy,Maybe,Some of them,Yes,Yes,No
943,No,Yes,Yes,Yes,Yes,Don't know,Don't know,Yes,Some of them,No,Don't know,No
944,Yes,Don't know,No,Don't know,Don't know,Don't know,Somewhat easy,Maybe,Some of them,No,No,No
945,Yes,Yes,Yes,No,No,Yes,Don't know,Yes,Some of them,No,No,No
946,No,Yes,Yes,Yes,Yes,Don't know,Don't know,No,Some of them,Some of them,Yes,No
947,Yes,Yes,Yes,Yes,Yes,Don't know,Somewhat easy,No,Yes,Yes,Yes,No
948,Yes,Yes,Yes,Don't know,Yes,Don't know,Very difficult,Maybe,Some of them,Some of them,Don't know,No
949,Yes,Yes,Yes,Don't know,Don't know,Yes,Very easy,Maybe,Some of them,Some of them,Don't know,No
953,Yes,Don't know,No,No,Don't know,Don't know,Don't know,Yes,Some of them,No,Don't know,No
954,No,No,No,No,No,Yes,Don't know,Maybe,Some of them,Yes,Don't know,No
956,No,Don't know,No,No,Don't know,Don't know,Don't know,Yes,No,No,No,No
958,Yes,Yes,Not sure,Don't know,Don't know,Don't know,Don't know,No,Some of them,Some of them,No,No
970,No,No,Not sure,No,No,Don't know,Very difficult,Yes,No,No,No,Yes
972,Yes,Don't know,Not sure,No,Don't know,Don't know,Don't know,No,Yes,Yes,Don't know,No
973,No,Yes,Yes,Yes,Yes,Yes,Don't know,No,Yes,Yes,Yes,No
976,No,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Maybe,Some of them,Some of them,No,Yes
980,Yes,No,No,No,No,Don't know,Don't know,Maybe,Some of them,Yes,No,No
983,Yes,Don't know,Not sure,No,Don't know,Don't know,Don't know,Maybe,Some of them,Some of them,Don't know,No
988,No,Yes,Not sure,Yes,Yes,Yes,Somewhat easy,No,No,No,Don't know,No
992,Yes,Yes,Yes,Yes,Don't know,Yes,Very easy,No,Some of them,No,Yes,No
996,Yes,Yes,Yes,No,No,Yes,Very easy,Maybe,Some of them,Yes,Don't know,No
997,No,Yes,Not sure,No,Don't know,Don't know,Don't know,Yes,No,No,Don't know,No
1000,Yes,Yes,Yes,No,Don't know,Yes,Somewhat easy,No,Yes,Yes,Don't know,No
1001,Yes,Don't know,No,No,Don't know,Don't know,Don't know,Maybe,Some of them,Yes,Don't know,No
1002,Yes,Yes,Yes,No,No,Yes,Very easy,No,Yes,Yes,Don't know,No
1003,Yes,Don't know,No,No,Don't know,Don't know,Don't know,Maybe,Some of them,No,Don't know,Yes
1006,Yes,Yes,Yes,No,Yes,Yes,Very easy,No,Yes,Yes,Don't know,No
1007,No,Don't know,No,No,No,Don't know,Don't know,Yes,Some of them,No,Don't know,No
1008,Yes,No,Yes,No,No,Yes,Somewhat easy,No,Some of them,Yes,Yes,No
1009,No,Don't know,Not sure,No,No,Don't know,Don't know,Yes,No,No,Don't know,No
1010,No,Yes,Yes,Yes,Yes,Yes,Don't know,Maybe,No,Yes,Don't know,No
1011,No,No,Yes,Don't know,Don't know,Yes,Somewhat easy,Maybe,No,Some of them,Yes,No
1012,No,Yes,Yes,No,Don't know,Don't know,Somewhat difficult,Yes,Some of them,Some of them,No,Yes
1013,No,Don't know,Not sure,Don't know,Don't know,Don't know,Don't know,No,Some of them,Yes,Don't know,No
1014,No,Yes,Not sure,Yes,Yes,Yes,Don't know,Yes,Some of them,Some of them,Yes,No
1016,No,Don't know,Not sure,No,No,Don't know,Somewhat easy,No,Yes,Yes,Yes,No
1017,Yes,Yes,Yes,Yes,Yes,Don't know,Don't know,Yes,Some of them,Some of them,No,Yes
1018,Yes,Yes,No,No,No,Don't know,Don't know,Maybe,Some of them,No,Don't know,No
1019,No,Don't know,No,No,No,Don't know,Somewhat easy,Yes,Some of them,Some of them,Don't know,Yes
1021,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Maybe,Some of them,Some of them,No,Yes
1022,No,Yes,Yes,Yes,Yes,Don't know,Somewhat easy,No,Yes,Yes,Yes,No
1024,No,Don't know,No,No,No,Don't know,Somewhat easy,Maybe,Some of them,Some of them,No,No
1025,Yes,Don't know,No,No,Don't know,Don't know,Don't know,Maybe,Some of them,Some of them,Don't know,No
1026,No,Yes,Yes,Yes,Yes,Don't know,Don't know,Maybe,Some of them,Yes,Yes,No
1027,No,Don't know,Not sure,No,No,Don't know,Don't know,No,Some of them,Yes,Don't know,No
1028,No,Yes,Yes,Yes,No,Don't know,Don't know,Yes,No,No,Don't know,No
1029,No,Yes,Not sure,Yes,Don't know,Don't know,Don't know,Maybe,Some of them,Yes,Don't know,No
1030,No,Don't know,Not sure,No,No,Don't know,Don't know,No,Some of them,Yes,Yes,No
1031,Yes,Don't know,Not sure,Don't know,Don't know,Yes,Don't know,No,Yes,Yes,Yes,No
1032,No,Yes,Not sure,Yes,Don't know,Don't know,Don't know,Yes,Some of them,Some of them,No,No
1033,Yes,No,No,No,No,No,Very difficult,Yes,No,No,No,Yes
1034,No,Don't know,No,No,Don't know,Don't know,Don't know,Yes,No,No,Don't know,Yes
1037,No,Don't know,No,Don't know,Don't know,Yes,Don't know,Yes,Some of them,No,No,No
1038,No,No,Not sure,No,No,Don't know,Very easy,No,Some of them,Yes,Yes,No
1039,No,No,No,No,No,Don't know,Don't know,No,No,No,Don't know,No
1040,Yes,Don't know,No,No,No,Don't know,Somewhat easy,Yes,Some of them,Some of them,No,No
1041,No,Yes,No,Don't know,Yes,Yes,Don't know,No,Some of them,Yes,Yes,No
1042,Yes,Yes,Yes,No,Yes,Don't know,Don't know,Yes,No,No,Don't know,No
1043,Yes,Yes,Yes,No,No,Yes,Don't know,Maybe,Some of them,No,Don't know,No
1048,Yes,No,Yes,Yes,Yes,Yes,Very difficult,No,Some of them,Some of them,Yes,Yes
1050,Yes,Yes,Yes,No,No,Don't know,Don't know,No,Some of them,Yes,No,Yes
1051,No,No,No,No,No,Don't know,Somewhat difficult,Yes,No,Some of them,No,No
1053,No,Don't know,Not sure,Don't know,Don't know,Don't know,Very easy,No,Some of them,Some of them,Don't know,No
1054,No,Don't know,No,No,Don't know,Don't know,Don't know,Maybe,Some of them,No,No,No
1055,Yes,Yes,Yes,No,Don't know,Yes,Very easy,No,Some of them,Yes,Yes,No
1056,No,Don't know,No,No,Don't know,Don't know,Don't know,Maybe,Some of them,Yes,Don't know,No
1057,No,Don't know,No,No,No,No,Very easy,Maybe,Some of them,Yes,Yes,No
1059,Yes,Yes,Yes,Don't know,Yes,Yes,Very easy,No,Some of them,Some of them,Don't know,No
1060,Yes,Yes,No,No,No,Don't know,Somewhat easy,No,Some of them,Yes,Don't know,No
1061,Yes,Don't know,Not sure,No,No,Yes,Very difficult,Maybe,Some of them,No,No,No
1062,No,Don't know,No,No,No,Yes,Somewhat difficult,No,No,No,Don't know,No
1063,Yes,Don't know,No,No,No,Don't know,Somewhat easy,Maybe,Some of them,No,Don't know,No
1066,No,Yes,Not sure,Don't know,Don't know,Don't know,Somewhat easy,Maybe,No,Some of them,Don't know,No
1067,No,Yes,Yes,No,Don't know,Don't know,Somewhat difficult,Maybe,No,Yes,Don't know,No
1068,No,Yes,Yes,Yes,Yes,Yes,Don't know,Maybe,Some of them,Yes,Don't know,No
1070,Yes,No,No,No,No,Don't know,Don't know,Maybe,Some of them,Some of them,No,No
1071,No,Yes,Not sure,No,Yes,Don't know,Don't know,Maybe,No,No,Don't know,No
1072,No,Yes,Yes,Yes,Yes,Don't know,Don't know,Maybe,Some of them,No,Yes,Yes
1073,No,Don't know,No,No,No,Don't know,Don't know,No,Some of them,Yes,Don't know,No
1074,Yes,Yes,Yes,No,No,Don't know,Somewhat easy,Maybe,Some of them,No,No,No
1075,Yes,Yes,Yes,Yes,Yes,Yes,Don't know,Yes,No,No,No,Yes
1076,Yes,Yes,Not sure,No,Don't know,Don't know,Don't know,Maybe,Some of them,Some of them,Don't know,No
1077,Yes,Yes,Yes,Yes,Yes,Yes,Very difficult,Maybe,Yes,Some of them,No,Yes
1078,Yes,Yes,Yes,No,Don't know,Don't know,Don't know,Yes,No,No,Don't know,No
1080,Yes,No,Yes,No,No,Yes,Very easy,Maybe,Yes,Yes,No,No
1082,Yes,Yes,No,No,No,Don't know,Somewhat difficult,Yes,No,No,No,No
1087,No,Yes,Not sure,Yes,Yes,Don't know,Don't know,Yes,Some of them,No,No,No
1088,Yes,Yes,Yes,Yes,Don't know,Yes,Don't know,No,Some of them,Yes,Don't know,No
1089,Yes,Yes,Yes,Don't know,Don't know,Don't know,Don't know,Maybe,Some of them,Some of them,Yes,No
1090,No,No,Yes,No,No,Yes,Very easy,No,Some of them,Some of them,Yes,No
1091,No,Yes,Yes,No,Don't know,Don't know,Somewhat easy,Maybe,Some of them,Some of them,No,No
1092,Yes,No,Yes,No,No,Don't know,Very difficult,Yes,Yes,Yes,No,No
1093,Yes,Yes,Yes,Yes,Don't know,Yes,Don't know,Yes,No,No,Yes,No
1094,Yes,Yes,No,No,Yes,Yes,Very easy,No,No,Yes,Yes,No
1095,Yes,No,Yes,No,No,No,Very difficult,No,No,No,No,Yes
1096,Yes,Don't know,No,No,No,Don't know,Very easy,No,Yes,Yes,Yes,No
1097,Yes,Yes,Not sure,Yes,Don't know,Don't know,Somewhat difficult,Maybe,Some of them,Some of them,Don't know,Yes
1098,No,Don't know,Not sure,Yes,Don't know,Yes,Somewhat easy,No,Some of them,Yes,Yes,No
1099,No,Don't know,No,No,Don't know,Don't know,Don't know,No,Yes,Some of them,Yes,No
1100,No,Yes,Not sure,No,Yes,Don't know,Don't know,Maybe,Some of them,Yes,Don't know,No
1101,No,Don't know,Not sure,No,No,Don't know,Don't know,Maybe,Some of them,No,Don't know,No
1103,No,Don't know,No,No,No,Don't know,Somewhat easy,No,Yes,Some of them,Yes,No
1104,No,Yes,No,No,No,Don't know,Don't know,Yes,Some of them,No,Don't know,No
1105,Yes,No,Yes,No,Don't know,Don't know,Somewhat easy,Maybe,No,Some of them,Don't know,No
1108,Yes,Yes,Yes,Don't know,Don't know,Don't know,Don't know,Yes,No,No,Don't know,No
1113,Yes,Don't know,No,Don't know,Don't know,Don't know,Very easy,No,Yes,Yes,Don't know,No
1114,No,Yes,Not sure,Don't know,Don't know,Don't know,Somewhat easy,Maybe,Some of them,Some of them,Don't know,No
1117,Yes,Don't know,Yes,No,Don't know,Don't know,Don't know,Yes,No,Some of them,Don't know,No
1118,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Yes,No,Yes,Don't know,No
1119,No,No,Yes,No,No,Don't know,Don't know,Yes,No,No,Don't know,No
1123,Yes,Don't know,No,Don't know,Don't know,Don't know,Don't know,No,Some of them,Some of them,Don't know,No
1124,No,Don't know,Not sure,Don't know,Don't know,Yes,Don't know,No,No,No,Yes,No
1126,Yes,Don't know,Not sure,Don't know,Don't know,Don't know,Don't know,No,Some of them,Some of them,Don't know,No
1127,Yes,Yes,Yes,Yes,Yes,Yes,Very easy,Yes,Yes,Yes,Yes,Yes
1129,No,Yes,No,No,No,Yes,Somewhat easy,Maybe,No,No,No,No
1130,Yes,Yes,Yes,No,No,Don't know,Don't know,Yes,Some of them,Some of them,No,No
1132,Yes,Yes,Yes,No,No,Yes,Somewhat easy,Maybe,Some of them,No,Don't know,No
1145,No,Don't know,No,No,No,Don't know,Don't know,Maybe,No,No,Don't know,No
1148,Yes,Yes,Yes,No,Yes,Don't know,Somewhat easy,Yes,No,Some of them,Don't know,No
1149,No,Yes,Not sure,No,Don't know,Don't know,Don't know,Maybe,No,Some of them,Don't know,No
1150,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat difficult,Maybe,Some of them,Some of them,Don't know,Yes
1154,Yes,Don't know,Not sure,No,No,Don't know,Somewhat easy,Yes,Some of them,Some of them,Don't know,No
1158,Yes,No,Yes,No,No,Don't know,Don't know,No,No,No,Don't know,No
1160,Yes,Yes,Yes,No,No,Don't know,Don't know,Yes,Some of them,Some of them,Don't know,No
1163,Yes,Don't know,No,No,Don't know,Don't know,Somewhat easy,Maybe,Some of them,Some of them,Don't know,No
1164,Yes,Yes,Yes,No,No,Yes,Don't know,Maybe,Some of them,Some of them,No,No
1165,No,Yes,No,Yes,Don't know,Don't know,Don't know,Maybe,Yes,Yes,Don't know,No
1166,Yes,Yes,Yes,Yes,Yes,Don't know,Don't know,Maybe,Some of them,No,Don't know,No
1169,Yes,Yes,Yes,No,Don't know,Don't know,Don't know,Maybe,Some of them,No,No,No
1170,No,Don't know,Not sure,No,No,Don't know,Don't know,Maybe,Some of them,Yes,No,No
1171,No,Yes,No,Yes,Yes,Don't know,Don't know,Yes,No,No,Don't know,No
1172,Yes,Yes,Yes,No,Yes,Yes,Somewhat easy,No,Yes,Yes,Yes,Yes
1175,No,Don't know,No,No,No,Don't know,Somewhat difficult,No,Some of them,Yes,Don't know,Yes
1176,Yes,Yes,No,No,No,Don't know,Don't know,Maybe,No,No,No,No
1177,No,No,No,No,Don't know,Don't know,Don't know,No,Some of them,Yes,No,Yes
1180,Yes,Yes,Yes,No,No,Yes,Don't know,Maybe,Some of them,No,No,No
1181,Yes,Yes,Yes,Yes,Yes,Yes,Don't know,Maybe,Some of them,No,No,Yes
1182,Yes,Yes,Not sure,Don't know,Yes,Don't know,Somewhat easy,Maybe,Some of them,Yes,Don't know,Yes
1183,Yes,No,No,No,No,Yes,Don't know,Maybe,Some of them,Some of them,Yes,No
1184,Yes,No,Yes,No,No,Don't know,Very difficult,Yes,Some of them,Some of them,Don't know,No
1185,No,Don't know,Not sure,Don't know,Don't know,Don't know,Don't know,No,Some of them,Yes,Yes,No
1186,No,Don't know,Not sure,Don't know,Don't know,Don't know,Don't know,Maybe,No,No,Don't know,No
1187,Yes,Yes,No,No,No,Don't know,Don't know,Maybe,Some of them,Some of them,Don't know,No
1189,Yes,Yes,Yes,No,No,Yes,Don't know,Maybe,Some of them,No,Yes,No
1190,Yes,Yes,Yes,No,Yes,Yes,Don't know,Maybe,Some of them,Some of them,Don't know,No
1198,Yes,Yes,Not sure,No,Don't know,Don't know,Very difficult,Yes,Some of them,No,Don't know,No
1201,Yes,Yes,No,No,No,Don't know,Somewhat easy,Yes,Some of them,No,No,Yes
1207,Yes,No,Yes,No,No,No,Very easy,Maybe,Some of them,Yes,No,No
1214,Yes,Yes,Yes,No,No,Yes,Don't know,Maybe,Some of them,No,Don't know,No
1219,Yes,Yes,No,Yes,Yes,Yes,Very easy,No,Yes,Yes,Don't know,No
1220,Yes,Don't know,No,No,No,Don't know,Don't know,Maybe,Some of them,No,No,No
1221,Yes,Don't know,Not sure,Don't know,Don't know,Don't know,Don't know,No,Some of them,Yes,Don't know,No
1228,Yes,Don't know,Yes,No,No,Don't know,Somewhat easy,Yes,Some of them,Some of them,Don't know,No
1236,Yes,Don't know,No,Yes,Don't know,Don't know,Somewhat easy,Maybe,Some of them,No,Don't know,No
1238,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Yes,Some of them,Yes,No,Yes
1243,Yes,Yes,Yes,No,Yes,Don't know,Don't know,No,Some of them,Yes,Don't know,No
1246,No,Yes,Not sure,Don't know,Yes,Don't know,Somewhat easy,No,No,Some of them,Don't know,No
1248,Yes,Yes,No,No,Don't know,Don't know,Don't know,Yes,No,No,Don't know,No
1249,Yes,Yes,Yes,Don't know,No,Yes,Very easy,No,Yes,Yes,Yes,No
1250,Yes,Yes,Not sure,Yes,Yes,Don't know,Don't know,No,Some of them,Yes,Yes,No
1252,Yes,Yes,Yes,Yes,No,Yes,Don't know,Yes,Some of them,No,No,No
1253,No,Don't know,No,Yes,Yes,Don't know,Somewhat easy,Maybe,Some of them,Some of them,Don't know,No
1255,Yes,Yes,Yes,No,No,Yes,Somewhat difficult,No,Some of them,Yes,Yes,No
1256,Yes,Yes,Yes,No,No,Don't know,Somewhat difficult,Yes,No,No,No,No
1257,No,No,Yes,No,No,Don't know,Don't know,Yes,No,No,No,No
1258,Yes,Yes,Yes,No,No,Yes,Don't know,Maybe,Some of them,No,Don't know,No
